Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset
2017,Second Round,6,Cincinnati,67,3,UCLA,79,TEAM_1,-3,-12,TEAM_2,True
2017,First Round,5,Notre Dame,60,12,Princeton,58,TEAM_2,7,2,TEAM_1,True
2017,First Round,4,West Virginia,86,13,Bucknell,80,TEAM_2,9,6,TEAM_1,True
2017,First Round,5,Virginia,76,12,UNC Wilmington,71,TEAM_2,7,5,TEAM_1,True
2017,First Round,4,Florida,80,13,East Tennessee State,65,TEAM_2,9,15,TEAM_1,True
2017,First Round,1,Gonzaga,66,16,South Dakota State,46,TEAM_2,15,20,TEAM_1,True
2017,First Round,8,Northwestern,68,9,Vanderbilt,66,TEAM_2,1,2,TEAM_1,True
2017,First Round,7,St. Mary's (Cal.),85,10,Virginia Commonwealth,77,TEAM_2,3,8,TEAM_1,True
2017,First Round,2,Arizona,100,15,North Dakota,82,TEAM_2,13,18,TEAM_1,True
2017,First Round,5,Iowa State,84,12,Nevada,73,TEAM_2,7,11,TEAM_1,True
2017,First Round,4,Purdue,80,13,Vermont,70,TEAM_2,9,10,TEAM_1,True
2017,First Round,5,Minnesota,72,12,Middle Tennessee State,81,TEAM_2,7,-9,TEAM_2,False
2017,First Round,4,Butler,76,13,Winthrop,64,TEAM_2,9,12,TEAM_1,True
2017,First Round,1,Villanova,76,16,Mount St. Mary's,56,TEAM_2,15,20,TEAM_1,True
2017,First Round,8,Wisconsin,84,9,Virginia Tech,74,TEAM_2,1,10,TEAM_1,True
2017,First Round,6,Maryland,65,11,Xavier,76,TEAM_2,5,-11,TEAM_2,False
2017,First Round,3,Florida State,86,14,Florida Gulf Coast,80,TEAM_2,11,6,TEAM_1,True
2017,First Round,6,Southern Methodist,65,11,Southern California,66,TEAM_2,5,-1,TEAM_2,False
2017,First Round,3,Baylor,91,14,New Mexico State,73,TEAM_2,11,18,TEAM_1,True
2017,First Round,1,Kansas,100,16,UC Davis,62,TEAM_2,15,38,TEAM_1,True
2017,First Round,8,Miami (Fla.),58,9,Michigan State,78,TEAM_2,1,-20,TEAM_2,False
2017,First Round,7,South Carolina,93,10,Marquette,73,TEAM_2,3,20,TEAM_1,True
2017,First Round,2,Duke,87,15,Troy,65,TEAM_2,13,22,TEAM_1,True
2017,First Round,1,North Carolina,103,16,Texas Southern,64,TEAM_2,15,39,TEAM_1,True
2017,First Round,8,Arkansas,77,9,Seton Hall,71,TEAM_2,1,6,TEAM_1,True
2017,First Round,6,Creighton,72,11,Rhode Island,84,TEAM_2,5,-12,TEAM_2,False
2017,First Round,3,Oregon,93,14,Iona,77,TEAM_2,11,16,TEAM_1,True
2017,First Round,6,Cincinnati,75,11,Kansas State,61,TEAM_2,5,14,TEAM_1,True
2017,First Round,3,UCLA,97,14,Kent State,80,TEAM_2,11,17,TEAM_1,True
2017,First Round,7,Michigan,92,10,Oklahoma State,91,TEAM_2,3,1,TEAM_1,True
2017,First Round,2,Louisville,78,15,Jacksonville State,63,TEAM_2,13,15,TEAM_1,True
2017,First Round,7,Dayton,58,10,Wichita State,64,TEAM_2,3,-6,TEAM_2,False
2017,First Round,2,Kentucky,79,15,Northern Kentucky,70,TEAM_2,13,9,TEAM_1,True
2017,Play-In,16,Mount St. Mary's,67,16,New Orleans,66,EQUAL,0,1,TEAM_1,True
2017,Play-In,11,Kansas State,95,11,Wake Forest,88,EQUAL,0,7,TEAM_1,True
2017,Play-In,16,North Carolina Central,63,16,UC Davis,67,EQUAL,0,-4,TEAM_2,True
2017,Play-In,11,Southern California,75,11,Providence,71,EQUAL,0,4,TEAM_1,True
2016,National Championship,2,Villanova,77,1,North Carolina,74,TEAM_1,-1,3,TEAM_1,False
2016,Final Four,2,Villanova,95,2,Oklahoma,51,EQUAL,0,44,TEAM_1,True
2016,Final Four,1,North Carolina,83,10,Syracuse,66,TEAM_2,9,17,TEAM_1,True
2016,Elite Eight,1,Oregon,68,2,Oklahoma,80,TEAM_2,1,-12,TEAM_2,False
2016,Elite Eight,1,Kansas,59,2,Villanova,64,TEAM_2,1,-5,TEAM_2,False
2016,Elite Eight,1,Virginia,62,10,Syracuse,68,TEAM_2,9,-6,TEAM_2,False
2016,Elite Eight,1,North Carolina,88,6,Notre Dame,74,TEAM_2,5,14,TEAM_1,True
2016,Sweet 16,1,Oregon,82,4,Duke,68,TEAM_2,3,14,TEAM_1,True
2016,Sweet 16,3,Texas A&M,63,2,Oklahoma,77,TEAM_1,-1,-14,TEAM_2,True
2016,Sweet 16,1,Virginia,84,4,Iowa State,71,TEAM_2,3,13,TEAM_1,True
2016,Sweet 16,11,Gonzaga,60,10,Syracuse,63,TEAM_1,-1,-3,TEAM_2,True
2016,Sweet 16,1,Kansas,79,5,Maryland,63,TEAM_2,4,16,TEAM_1,True
